% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
3.974	1	12	398	5	14	28	9422
3.975	1	12	398	6	14	28	9422
3.976	1	12	398	7	14	28	9422
3.977	1	5	398	8	4	28	4587
3.977	1	12	398	8	14	28	4587
3.978	1	5	398	9	4	28	9422
3.979	1	5	398	10	4	28	9422
3.98	1	5	399	1	4	28	9422
3.981	1	5	399	2	4	28	9422
3.982	1	5	399	3	4	28	9422
3.983	1	5	399	4	4	28	9422
3.984	1	5	399	5	4	28	9422
3.985	1	5	399	6	4	28	9422
3.986	1	14	399	7	15	28	9422
3.987	1	14	399	8	15	28	9422
3.988	1	14	399	9	15	28	9422
3.989	1	14	399	10	15	28	9422
3.99	1	14	400	1	15	28	9422
3.991	1	14	400	2	15	28	9422
3.992	1	14	400	3	15	28	9422
3.993	1	14	400	4	15	28	9422
3.994	1	14	400	5	15	28	9422
3.995	1	4	400	6	13	28	9422
3.996	1	4	400	7	13	28	9422
3.997	1	4	400	8	13	28	9422
3.998	1	4	400	9	13	28	9422
3.999	1	4	400	10	13	28	9422
4	1	4	401	1	13	28	9422
4.001	1	4	401	2	13	28	9422
4.002	1	4	401	3	13	28	9422
4.003	1	4	401	4	13	28	9422
4.004	1	15	401	5	5	28	9422
4.005	1	15	401	6	5	28	9422
4.006	1	15	401	7	5	28	9422
4.007	1	15	401	8	5	28	9422
4.008	1	15	401	9	5	28	9422
4.009	1	15	401	10	5	28	9422
4.01	1	15	402	1	5	28	9422
4.011	1	15	402	2	5	28	9422
4.012	1	15	402	3	5	28	9422
4.013	1	1	402	4	10	28	4587
4.013	1	15	402	4	5	28	4587
4.014	1	1	402	5	10	28	9422
4.015	1	1	402	6	10	28	9422
4.016	1	1	402	7	10	28	9422
4.017	1	1	402	8	10	28	9422
4.018	1	1	402	9	10	28	9422
