% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
2.167	1	1	217	8	2	15	1692	0	0	47
2.168	1	3	217	9	1	1	217	0	0	47
2.168	1	1	217	9	2	15	1692	0	0	47
2.169	1	1	217	10	2	15	1692	0	0	47
2.169	1	3	217	10	1	1	217	0	0	47
2.17	1	3	218	1	1	5	533	0	0	48
2.17	1	1	218	1	2	15	1692	0	0	47
2.171	1	3	218	2	1	1	217	0	0	47
2.171	1	1	218	2	2	10	935	0	0	47
2.172	1	1	218	3	2	10	935	0	0	47
2.172	1	3	218	3	1	1	217	0	0	47
2.173	1	3	218	4	1	1	217	0	0	47
2.173	1	1	218	4	2	10	935	0	0	47
2.174	1	3	218	5	1	1	217	0	0	47
2.174	1	1	218	5	2	10	935	0	0	47
2.175	1	3	218	6	1	1	453	0	0	98
2.176	1	3	218	7	1	1	453	0	0	98
2.177	1	3	218	8	1	1	453	0	0	98
2.178	1	3	218	9	1	1	453	0	0	98
2.179	1	3	218	10	1	1	453	0	0	98
2.18	1	3	219	1	1	1	453	0	0	98
2.181	1	3	219	2	1	5	1095	0	0	98
2.182	1	3	219	3	1	5	1095	0	0	98
2.183	1	3	219	4	1	5	1095	0	0	98
2.184	1	3	219	5	1	5	1095	0	0	98
2.185	1	3	219	6	1	5	1095	0	0	98
2.186	1	3	219	7	1	1	453	0	0	98
2.187	1	3	219	8	1	1	453	0	0	98
2.188	1	3	219	9	1	1	453	0	0	98
2.189	1	3	219	10	1	1	453	0	0	98
2.19	1	3	220	1	1	1	453	0	0	98
2.191	1	3	220	2	1	5	1095	0	0	98
2.192	1	3	220	3	1	5	1095	0	0	98
2.193	1	3	220	4	1	5	1095	0	0	98
2.194	1	3	220	5	1	5	1095	0	0	98
2.195	1	3	220	6	1	5	1095	0	0	98
2.196	1	3	220	7	1	1	453	0	0	98
2.197	1	3	220	8	1	1	453	0	0	98
2.198	1	3	220	9	1	1	453	0	0	98
2.199	1	3	220	10	1	1	453	0	0	98
2.2	1	3	221	1	1	1	453	0	0	98
